arquivo,timestamp_s,timecode,tipo
0525_00-33-27_639.jpg,2007.639,00-33-27.639,corte
0526_00-33-29_274.jpg,2009.274,00-33-29.274,corte
0527_00-33-32_000.jpg,2012.000,00-33-32.000,suave
0528_00-33-34_513.jpg,2014.513,00-33-34.513,corte
0529_00-33-38_183.jpg,2018.183,00-33-38.183,corte
0530_00-33-39_551.jpg,2019.551,00-33-39.551,corte
0531_00-33-41_353.jpg,2021.353,00-33-41.353,corte
0532_00-33-42_487.jpg,2022.487,00-33-42.487,corte
0533_00-33-43_788.jpg,2023.788,00-33-43.788,corte
0534_00-33-47_325.jpg,2027.325,00-33-47.325,corte
0535_00-33-49_261.jpg,2029.261,00-33-49.261,corte
0536_00-33-51_663.jpg,2031.663,00-33-51.663,corte
0537_00-33-56_750.jpg,2036.750,00-33-56.750,suave
0538_00-34-02_000.jpg,2042.000,00-34-02.000,suave
0539_00-34-05_000.jpg,2045.000,00-34-05.000,suave
0540_00-34-11_383.jpg,2051.383,00-34-11.383,corte
0541_00-34-12_584.jpg,2052.584,00-34-12.584,corte
0542_00-34-14_052.jpg,2054.052,00-34-14.052,corte
0543_00-34-15_954.jpg,2055.954,00-34-15.954,corte
0544_00-34-17_188.jpg,2057.188,00-34-17.188,corte
0545_00-34-20_792.jpg,2060.792,00-34-20.792,corte
0546_00-34-22_661.jpg,2062.661,00-34-22.661,corte
0547_00-34-25_463.jpg,2065.463,00-34-25.463,corte
0548_00-34-30_750.jpg,2070.750,00-34-30.750,suave
0549_00-34-34_500.jpg,2074.500,00-34-34.500,suave
0550_00-34-36_408.jpg,2076.408,00-34-36.408,corte
0551_00-34-48_086.jpg,2088.086,00-34-48.086,corte
0552_00-34-50_288.jpg,2090.288,00-34-50.288,corte
0553_00-34-51_790.jpg,2091.790,00-34-51.790,corte
0554_00-35-00_298.jpg,2100.298,00-35-00.298,corte
0555_00-35-03_835.jpg,2103.835,00-35-03.835,corte
0556_00-35-06_104.jpg,2106.104,00-35-06.104,corte
0557_00-35-07_872.jpg,2107.872,00-35-07.872,corte
0558_00-35-11_776.jpg,2111.776,00-35-11.776,corte
0559_00-35-18_016.jpg,2118.016,00-35-18.016,corte
0560_00-35-21_319.jpg,2121.319,00-35-21.319,corte
0561_00-35-23_288.jpg,2123.288,00-35-23.288,corte
0562_00-35-28_059.jpg,2128.059,00-35-28.059,corte
0563_00-35-30_695.jpg,2130.695,00-35-30.695,corte
0564_00-35-32_500.jpg,2132.500,00-35-32.500,suave
